year_month,review_count,avg_sentiment,avg_rating,neg_pct
2008-08,28,0.3128,4.25,32.14
2008-09,1339,0.6391,4.479,6.87
2008-10,435,0.6127,4.368,9.89
2008-11,457,0.6327,4.46,7.44
2008-12,502,0.6142,4.464,8.37
2009-01,511,0.6279,4.472,6.65
2009-02,393,0.6522,4.407,7.89
2009-03,983,0.6209,4.395,7.93
2009-04,939,0.6229,4.435,7.14
2009-05,1113,0.6328,4.447,7.28
2009-06,826,0.6282,4.446,8.6
2009-07,728,0.6569,4.46,5.77
2009-08,1083,0.6415,4.509,6.09
2009-09,778,0.6336,4.486,7.46
2009-10,742,0.6418,4.491,7.14
2009-11,623,0.6091,4.443,8.35
2009-12,989,0.6294,4.485,6.47
2010-01,1274,0.6519,4.528,6.28
2010-02,996,0.6561,4.492,6.33
2010-03,1221,0.632,4.448,6.72
2010-04,1211,0.6151,4.477,7.84
2010-05,1371,0.6118,4.458,7.73
2010-06,1070,0.6338,4.455,7.38
2010-07,1138,0.6296,4.461,6.94
2010-08,1186,0.6545,4.49,7.0
2010-09,577,0.621,4.435,9.88
2010-10,967,0.6414,4.423,7.65
2010-11,993,0.643,4.372,7.35
2010-12,1481,0.6362,4.425,7.09
2011-01,1359,0.6416,4.43,7.36
2011-02,986,0.6568,4.373,6.8
2011-03,1108,0.6457,4.402,8.57
2011-04,1131,0.6127,4.413,9.46
2011-05,1161,0.6546,4.442,6.46
2011-06,939,0.6343,4.393,7.67
2011-07,942,0.6716,4.51,7.11
2011-08,1001,0.6375,4.485,8.29
2011-09,405,0.677,4.39,6.67
2011-10,887,0.646,4.454,6.88
2011-11,1146,0.6812,4.523,5.67
2011-12,1352,0.6449,4.529,8.06
2012-01,1471,0.65,4.514,7.27
2012-02,1153,0.631,4.435,7.29
2012-03,1149,0.6453,4.48,7.31
2012-04,510,0.6811,4.469,6.47
2012-05,628,0.6441,4.457,9.08
2012-06,816,0.6711,4.479,7.11
2012-07,867,0.6503,4.411,7.04
2012-08,952,0.6678,4.438,7.77
2012-09,869,0.65,4.35,7.25
2012-10,838,0.6329,4.408,8.23
2012-11,1109,0.6551,4.429,7.12
2012-12,1438,0.6531,4.446,7.93
2013-01,1708,0.656,4.436,7.44
2013-02,1413,0.6618,4.396,7.78
2013-03,1564,0.6218,4.355,8.82
2013-04,1389,0.639,4.394,8.71
2013-05,1269,0.6542,4.454,7.01
2013-06,996,0.6317,4.445,8.94
2013-07,962,0.6475,4.421,7.59
2013-08,1126,0.6419,4.325,8.61
2013-09,1069,0.6196,4.385,10.01
2013-10,1206,0.6437,4.357,6.63
2013-11,1423,0.6222,4.382,9.0
2013-12,1496,0.6382,4.419,8.82
2014-01,1844,0.6441,4.337,8.08
2014-02,1577,0.6054,4.292,11.16
2014-03,1550,0.6311,4.32,9.48
2014-04,1965,0.6339,4.337,8.65
2014-05,1561,0.6273,4.348,9.16
2014-06,1447,0.6158,4.299,10.02
2014-07,1444,0.6474,4.301,8.1
2014-08,1281,0.6275,4.297,9.06
2014-09,1177,0.6207,4.277,10.96
2014-10,1151,0.6254,4.242,9.3
2014-11,1477,0.6185,4.388,9.75
2014-12,1750,0.6221,4.359,9.09
2015-01,2370,0.6459,4.293,8.35
2015-02,1868,0.6177,4.202,9.31
2015-03,1927,0.6144,4.255,10.07
2015-04,2039,0.6197,4.293,9.47
2015-05,1742,0.6167,4.253,9.87
2015-06,1483,0.6055,4.21,10.11
2015-07,1476,0.6309,4.283,10.57
2015-08,1237,0.6392,4.27,10.43
2015-09,1183,0.6101,4.234,11.58
2015-10,1296,0.6281,4.233,9.8
2015-11,2241,0.6355,4.307,10.17
2015-12,2728,0.6371,4.32,9.49
2016-01,2964,0.642,4.293,8.64
2016-02,2660,0.6262,4.306,10.68
2016-03,2415,0.6432,4.272,8.74
2016-04,3025,0.6446,4.278,8.99
2016-05,2690,0.6704,4.298,7.73
2016-06,2416,0.6422,4.276,9.19
2016-07,2590,0.6387,4.331,8.65
2016-08,2773,0.6475,4.37,9.2
2016-09,2336,0.6681,4.343,7.62
2016-10,2633,0.6377,4.273,9.3
2016-11,3105,0.6429,4.272,8.99
2016-12,3530,0.6443,4.331,9.24
2017-01,4406,0.6524,4.313,8.81
2017-02,3444,0.6444,4.274,9.29
2017-03,3290,0.7172,4.416,6.53
2017-04,2773,0.6529,4.252,9.38
2017-05,2755,0.656,4.283,9.47
2017-06,2903,0.6595,4.24,9.09
2017-07,4766,0.7056,4.354,7.47
2017-08,5949,0.7296,4.363,5.7
2017-09,8750,0.7018,4.494,6.14
2017-10,4673,0.6807,4.372,6.89
2017-11,5181,0.6466,4.323,8.4
2017-12,5702,0.6466,4.331,8.7
2018-01,8673,0.6552,4.36,8.12
2018-02,7131,0.6306,4.309,9.03
2018-03,7401,0.6387,4.331,8.67
2018-04,10332,0.661,4.343,8.56
2018-05,7925,0.6583,4.366,8.29
2018-06,6874,0.6803,4.447,7.27
2018-07,10815,0.7189,4.418,5.9
2018-08,10117,0.716,4.414,6.09
2018-09,7605,0.6712,4.325,7.74
2018-10,6596,0.6238,4.215,9.72
2018-11,6599,0.6182,4.2,10.14
2018-12,7928,0.6615,4.321,7.81
2019-01,12438,0.6763,4.322,7.69
2019-02,9774,0.6326,4.267,9.24
2019-03,12435,0.6717,4.339,7.66
2019-04,14901,0.6893,4.278,7.7
2019-05,14073,0.6527,4.225,9.15
2019-06,11020,0.6545,4.224,8.67
2019-07,10930,0.6638,4.247,8.7
2019-08,14753,0.6862,4.266,7.82
2019-09,12384,0.665,4.22,8.28
2019-10,9182,0.6166,4.105,10.55
2019-11,8189,0.6021,4.038,11.05
2019-12,12361,0.6676,4.241,8.34
2020-01,21506,0.6953,4.269,6.99
2020-02,17399,0.6769,4.21,8.18
2020-03,19330,0.6891,4.277,7.29
2020-04,23924,0.6393,4.133,9.91
2020-05,23910,0.6573,4.186,9.01
2020-06,18621,0.6364,4.155,9.7
2020-07,16007,0.6413,4.148,9.66
2020-08,21086,0.6912,4.24,7.43
2020-09,15590,0.7113,4.253,6.26
2020-10,16240,0.6895,4.195,7.46
2020-11,10054,0.6632,4.202,8.9
2020-12,11782,0.6843,4.236,8.06
2021-01,19808,0.699,4.283,7.57
2021-02,18848,0.724,4.305,6.44
2021-03,18806,0.7012,4.304,7.47
2021-04,22570,0.6973,4.285,7.28
2021-05,19433,0.6922,4.271,7.29
2021-06,18086,0.7105,4.302,6.73
2021-07,14478,0.7174,4.353,6.35
2021-08,15548,0.7276,4.355,6.33
2021-09,16030,0.7478,4.433,5.55
2021-10,13849,0.7284,4.378,5.9
2021-11,10223,0.6657,4.215,8.81
2021-12,14333,0.7267,4.398,6.26
2022-01,22005,0.7068,4.334,6.4
2022-02,17540,0.7167,4.355,6.16
2022-03,18815,0.7193,4.344,6.73
2022-04,18957,0.7009,4.276,7.28
2022-05,14528,0.6915,4.267,7.96
2022-06,14503,0.7122,4.308,7.0
2022-07,17184,0.7237,4.369,6.22
2022-08,21277,0.7392,4.406,5.65
2022-09,15792,0.7043,4.313,6.72
2022-10,11384,0.7182,4.318,6.11
2022-11,8536,0.7007,4.27,6.84
2022-12,11706,0.7509,4.477,5.13
2023-01,16898,0.7009,4.351,7.03
2023-02,16746,0.6561,4.209,9.51
2023-03,15863,0.6944,4.31,7.77
