ingredient,avg_sentiment,avg_rating,product_count
aha,0.795372894736842,4.578947368421052,380
bakuchiol,0.7369756340776068,4.420406098706554,13839
tea tree,0.7186198631424596,4.420949731172689,26597
collagen,0.7116167018284106,4.3079289732770745,22752
hyaluronic acid,0.7013600962474617,4.295849675929789,71898
ceramide,0.7002054252533821,4.388525502431192,109617
snail,0.7000345911949686,3.8441649196366177,1431
squalane,0.6989996276674876,4.31583384300048,241988
jojoba,0.6985354747449845,4.303664211531943,162245
peptide,0.696367223630538,4.260805785389832,155426
spf,0.6956654901960785,4.101960784313725,510
vitamin c,0.6947211765057719,4.2291404988336625,33438
glycerin,0.6904988171624548,4.298121032276895,822260
niacinamide,0.6897208392320406,4.279413918392112,143393
lactic acid,0.6895263354693429,4.347493084611001,143882
shea butter,0.6862501572533088,4.263137203511991,30524
bha,0.6818050814332247,4.33257328990228,3070
retinol,0.6766477074235808,4.413019193663045,39388
rose hip,0.6736365605958022,4.217332430602573,1477
aloe,0.6725500144856592,4.268214467677,200198
glycolic acid,0.6708290569932905,4.3532299006751565,94941
centella,0.6698088449169974,4.230755859431585,34517
salicylic acid,0.6625619039111469,4.375541560587789,134334
zinc,0.6399359212788994,4.2020890389147185,94206
tranexamic acid,0.6120023193702558,4.157998313185269,7114
azelaic acid,0.6002368295779118,4.236432878451286,6302
arbutin,0.5315992213354098,3.9752773992602686,5137
kojic acid,0.46742292925702095,3.8642019196587274,2813
